addr          name                           size  callers
0050:4daa     FUN_0050_4daa                   116  FUN_0050_4e78
0050:4e1e     FUN_0050_4e1e                     6  thunk_FUN_0050_4e1e
0050:4e27     FUN_0050_4e27                     5  thunk_FUN_0050_4e27
0050:4e30     FUN_0050_4e30                     8  FUN_0050_a8ba
0050:4e78     FUN_0050_4e78                    95  FUN_0050_4daa,FUN_0050_4e1e
0050:4ed7     FUN_0050_4ed7                    45  FUN_0050_4daa,FUN_0050_53b5
0050:50b2     FUN_0050_50b2                     5  FUN_0050_b208
0050:50f7     FUN_0050_50f7                   189  FUN_0050_51f7
0050:51b4     FUN_0050_51b4                    66  FUN_0050_50f7,FUN_0050_b0cc
0050:51f7     FUN_0050_51f7                   118  0050:9b9e,0050:9baa,FUN_0050_832a,FUN_0050_8915,FUN_0050_8fe2,FUN_0050_90cd,FUN_0050_91fa,FUN_0050_951b,FUN_0050_9913,FUN_0050_a4da
0050:5292     FUN_0050_5292                    56  FUN_0050_5292,FUN_0050_52cc,FUN_0050_5317,FUN_0050_5339
0050:52cc     FUN_0050_52cc                    63  0050:a0ad,FUN_0050_5292,FUN_0050_8037,FUN_0050_810f,FUN_0050_832a,FUN_0050_8831,FUN_0050_8915,FUN_0050_8a42,FUN_0050_8a9c,FUN_0050_8e17
0050:530e     FUN_0050_530e                     9  FUN_0050_8a9c
0050:5317     FUN_0050_5317                    15  FUN_0050_8a9c
0050:5327     FUN_0050_5327                    17  FUN_0050_5292,FUN_0050_52cc
0050:5339     FUN_0050_5339                    12  FUN_0050_52cc,FUN_0050_5317
0050:5345     FUN_0050_5345                     7  FUN_0050_5292
0050:534d     FUN_0050_534d                    11  FUN_0050_52cc,FUN_0050_5317
0050:5358     FUN_0050_5358                    18  FUN_0050_8a9c,FUN_0050_ae17,FUN_0050_b3fa
0050:537e     FUN_0050_537e                    55  FUN_0050_8a9c
0050:53b5     FUN_0050_53b5                   291  FUN_0050_832a,FUN_0050_97f5,FUN_0050_980a,FUN_0050_ae17,FUN_0050_b3fa
0050:54dd     FUN_0050_54dd                    31  FUN_0050_810f,FUN_0050_8831,FUN_0050_8915,FUN_0050_951b,FUN_0050_b32b,FUN_0050_ba32,FUN_0050_bc97
0050:557e     FUN_0050_557e                   547  FUN_0050_b32b,FUN_0050_da30
0050:5849     FUN_0050_5849                    47  FUN_0050_4820,FUN_0050_4c48,FUN_0050_587e
0050:5878     FUN_0050_5878                     3  FUN_0050_4a05,FUN_0050_54dd
0050:587e     FUN_0050_587e                   989  FUN_0050_46b3,FUN_0050_587e
0050:5c63     FUN_0050_5c63                   109  FUN_0050_46b3,FUN_0050_587e
0050:6614     FUN_0050_6614                    34  0050:0002
0050:6660     FUN_0050_6660                    34  FUN_0050_b5ed
0050:66af     FUN_0050_66af                    34  FUN_0050_a493,FUN_0050_ab96,FUN_0050_ae17
0050:67cd     FUN_0050_67cd                    34  FUN_0050_8037
